case_id,source,frame,corruption_level,repeat,method,mae,psnr_db,ssim,edge_correlation,foreground_dice_proxy,hallucinated_edge_fraction_proxy,deleted_edge_fraction_proxy,glcm_entropy_ccc,glcm_contrast_ccc,glcm_homogeneity_ccc,glcm_energy_ccc
PUBLIC_CT_01,eCT_Supplemental.dcm,0,mild,0,noisy,0.024794017896056175,26.484838944813553,0.6226467418089623,0.9717020359826932,0.9996928519228528,0.7642519503943156,0.007971678891605542,0.5133419477464274,0.9357177015753972,0.11991743693780033,0.7416703870764374
PUBLIC_CT_01,eCT_Supplemental.dcm,0,mild,0,gaussian,0.02451237663626671,24.46301092506306,0.7482546586010685,0.9455934193787763,0.9704609247283084,0.6441317264887216,0.026818459657701712,0.6619284493944093,0.39772765980732094,0.2513054270407684,0.8327350907174368
PUBLIC_CT_01,eCT_Supplemental.dcm,0,mild,0,tv,0.016154110431671143,31.76527705681704,0.8622349392040191,0.9977758322189821,0.9852455337338142,0.47083679166981063,0.4641656479217604,0.9550893233537612,0.9090285302049039,0.902773786933801,0.9739421014695183
PUBLIC_CT_01,eCT_Supplemental.dcm,0,mild,0,residual_cnn,0.024558601900935173,26.64652405700455,0.6198011593661776,0.9723342953242441,0.9995499335490122,0.764560406336921,0.008328239608801956,0.5113244399083734,0.9413626496633445,0.12064846310942735,0.739002705292097
PUBLIC_CT_01,eCT_Supplemental.dcm,0,mild,1,noisy,0.02489747665822506,26.442974574743864,0.6220863760068261,0.9713663378365612,0.9997828585349836,0.7638596852674379,0.007487775061124694,0.5125556245027026,0.9329106509025568,0.12006384439851486,0.7410039051081945
PUBLIC_CT_01,eCT_Supplemental.dcm,0,mild,1,gaussian,0.024525444954633713,24.458636131417776,0.7484584798361764,0.9458165304914529,0.9705257854392342,0.6438314019074967,0.027022208638956807,0.6609290019381916,0.3955740782267477,0.2504538206112928,0.8338412341339745
PUBLIC_CT_01,eCT_Supplemental.dcm,0,mild,1,tv,0.01618875376880169,31.756141224746493,0.8623567932287566,0.9978238143235886,0.985147843149534,0.4670348189053952,0.47644152404237977,0.9530973702397574,0.906244168273481,0.8992488305825544,0.978108733061179
PUBLIC_CT_01,eCT_Supplemental.dcm,0,mild,1,residual_cnn,0.024653740227222443,26.606561515341053,0.6192481094020909,0.9720113034974283,0.9995922754735165,0.7641602538098726,0.007946210268948655,0.5103100599958227,0.9389725573518594,0.12083492109159803,0.738167551905257
PUBLIC_CT_01,eCT_Supplemental.dcm,0,moderate,0,noisy,0.028756216168403625,25.349684808076248,0.5125714152029813,0.9644781733729487,0.999026248941575,0.8073517786561265,0.0069274653626731865,0.47428603184715595,0.9062022508551122,0.1107581776981646,0.7127172334578117
PUBLIC_CT_01,eCT_Supplemental.dcm,0,moderate,0,gaussian,0.027751145884394646,24.188572607141804,0.6482977369105901,0.9438622114896104,0.9704309919394637,0.6980209710938976,0.022998166259168704,0.6373729607751194,0.39346292729088866,0.23491466806151656,0.8181898477637013
PUBLIC_CT_01,eCT_Supplemental.dcm,0,moderate,0,tv,0.019711200147867203,30.66242609592871,0.7725741748718237,0.9974264868652732,0.9845364319576929,0.5285253615105361,0.4079309290953545,0.9435321748752783,0.8935474558905674,0.8624965267270097,0.975336953484777
PUBLIC_CT_01,eCT_Supplemental.dcm,0,moderate,0,residual_cnn,0.02851090021431446,25.500571474796125,0.508564592320851,0.9652077285697249,0.9986879972913493,0.8071324671726418,0.007182151589242054,0.4715323929242077,0.9133462544448059,0.11131062664201888,0.7091613990501064
PUBLIC_CT_01,eCT_Supplemental.dcm,0,moderate,1,noisy,0.028699057176709175,25.39419736839052,0.5092712372800839,0.9649636747270189,0.999200749495837,0.8080000787894008,0.00697840260798696,0.4743349443167715,0.9068590558430182,0.11034323781676433,0.7114460309412863
PUBLIC_CT_01,eCT_Supplemental.dcm,0,moderate,1,gaussian,0.027662446722388268,24.204502469585627,0.6443714813201045,0.9441711276554275,0.9704409693305779,0.6995139818271465,0.022157701711491444,0.6371915479024622,0.3945667452237903,0.2350260356449767,0.8164541997659748
PUBLIC_CT_01,eCT_Supplemental.dcm,0,moderate,1,tv,0.01955827698111534,30.72003920559331,0.7692986817021595,0.9974019791435258,0.984490221642764,0.5207099374794341,0.4064537489812551,0.9441437270570406,0.8950382800238895,0.8593568291566253,0.9761331256942046
PUBLIC_CT_01,eCT_Supplemental.dcm,0,moderate,1,residual_cnn,0.028451258316636086,25.546375244085702,0.5052470160473104,0.9656939538103768,0.9988676649558178,0.807802285567793,0.007105745721271393,0.4713556181964486,0.9140199335630668,0.11093494085320699,0.7078382996146997
PUBLIC_CT_01,eCT_Supplemental.dcm,0,severe,0,noisy,0.033602140843868256,24.012292646788772,0.41641765721667295,0.952287424849474,0.9973109332488047,0.8242156381786513,0.00527200488997555,0.4260376953950981,0.8589264374414539,0.09733245287812471,0.6436500266355484
PUBLIC_CT_01,eCT_Supplemental.dcm,0,severe,0,gaussian,0.03170441463589668,23.78421823681636,0.5518624522484195,0.9400279800030933,0.9702265006244571,0.7486510586504729,0.016478198859005706,0.6045095737780877,0.3907346042578408,0.21538790191623933,0.7969309301459239
PUBLIC_CT_01,eCT_Supplemental.dcm,0,severe,0,tv,0.02395394816994667,29.28612270394027,0.6834509332068305,0.9964221340666519,0.9828244175452298,0.5926296990024829,0.28545232273838633,0.9149091985101726,0.8746314890832141,0.7544336362792761,0.9751448073277155
